cosit,Description
1011,M01 Airport Link Road Between R132 Swords Road and Jn2 Dublin Airport
1012,M50 Between Jn02 Santry and Jn03 M50/M1
1013,"N01 South of M50 Jn02 Santry, Whitehall"
1014,M01 Between Jn01 M50/M01 and Jn02 Dublin Airport
1015,"M01 Between Jn04 Donabate and Jn05 Balbriggan (South), Donabate"
1016,M01 Between J11 & J10 @ VMS Monasterboice Co. Louth
1017,"M01 Between Jn 3 & Jn 4 at NB VMS, Swords Co Dublin."
1021,"N02 Between Carrickmacross and Castleblaney, Donaghmoyne, Co. Monaghan"
1022,"N02 Between Ardee and Carrickmacross, Drumgeeny, Co. Monaghan"
1023,"N02 Between Ashbourne and Slane, Crickstown Co. Meath"
1024,"N02 Between Castleblaney and Monaghan Town, Clontibert, Co. Monaghan"
1025,"N02 Between Slane and Ashbourne, McGruders Cross L1600, Co. Meath"
1027,"N2 Between Slane and Collon, Sillogue,Co Meath"
1031,"N03 Between Belleek and Ballyshannon, Templenew, Co. Donegal"
1032,"N03 Between Virginia and Kells, Co. Cavan"
1033,"N03 Between Jn03 Clonsilla and Jn04 Clonee , Clonee, Co. Dublin"
1034,"N03 Between Jn02 Blanchardstown and Jn03 Clonsilla, Blanchardstown, Co. Dublin"
1035,"N03 Between R188 Jn and Dublin Road Roundabout, Cavan Bypass, Co. Cavan"
1036,"N03 Between Staghall Roundabout , and Butlers Bridge, Belturbet Bypass, Co Cavan"
1041,"N04 Between the N59/N4 roundabout (Belladrihid) and Carrowroe Exit, Co. Sligo"
1042,"N04 Between Castlebaldwin and Boyle, Dromdoney, Co. Sligo"
1043,"N04 Between Edgeworthstown and Mullingar, Loughlanstown, Co. Longford"
1044,"N04 Between Jn03 Newcastle and Jn04 Lucan, Lucan, Co. Dublin"
1045,"R148 East of Kinnegad, Ardnamullen, Co. Meath"
1046,"N04 Between Boyle and Carrick on Shannon, Usna Co Roscommon"
1051,"N05 Between Westport and Castlebar, Doon, Co. Mayo"
1052,"N05 Between Turlough and Castlebar, Gortnafolla, Co. Mayo"
1053,"N05 Between Swinford and Charlestown, Cloonaghboy, Co. Mayo"
1054,"N05 Between Strokestown and Longford,Termonbarry, Co. Roscommon"
1055,N5 Ballaghaderreen Bypass
1056,N5 Ballaghaderreen Bypass
1057,"N5 Between N4 and N5, N5 Link, Longford Bypass Co. Longford"
1058,"N05 Between Bohola and Swinford, Knockavrony Co Mayo"
1065,"N06 Between Jn 10 & Jn 11, Athlone Bypass Co. Westmeath"
1069,"N06 Between N84 and N83, Bothar na dTreabh, Co Galway"
1070,"N07 Between Jn01 M50 and Jn1a Newlands Cross (R113), Dublin"
